4250381001,BENSON TERRY,25W,BENSON TERRY,"DICK LINDSAY OIL COMPANY, INC.",DICK LINDSAY OIL COMPANY  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3890581,-98.637879
4250380847,"RUE, B. C.",11W,"RUE, B. C.","JUST OIL & GAS, INC.",JUST OIL & GAS  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3299041,-98.8454846
4250342387,THUNDER A-759,2D,THUNDER A-759,NADEL AND GUSSMAN,NADEL AND GUSSMAN  L.L.C.,,YOUNG COUNTY REGULAR,YOUNG (TX),ATOKA CONGLOMERATE,HICKORY,DISPOSAL,ACTIVE,TX,33.1590972,-98.9486386
4250342252,TLC-C,1,TLC-C,"COVENANT OPERATING, LLC",COVENANT OPERATING  LLC,,Y-B,YOUNG (TX),"GUNSIGHT, UPPER",GUNSIGHT LIME,DISPOSAL,ACTIVE,TX,33.344328,-98.8413084
4250342188,HEARNE-ALLAR,2,HEARNE-ALLAR,"S.B. STREET OPERATING, INC.",S.B. STREET OPERATING  INC.,,WHITTENBURG,YOUNG (TX),"STRAWN, LOWER",MARBLE FALLS,DISPOSAL,ACTIVE,TX,32.9574773,-98.5860723
4250342027,THUNDER A-965,1,THUNDER A-965,NADEL AND GUSSMAN,NADEL AND GUSSMAN  L.L.C.,,TUTTLE,YOUNG (TX),"CADDO,CADDO, UPPER,CONGL.,MISSISSIPPIAN",MISSISSIPPIAN,DISPOSAL,ACTIVE,TX,33.1285195,-98.9318321
4250342027,THUNDER A-965,1,THUNDER A-965,NADEL AND GUSSMAN,NADEL AND GUSSMAN  L.L.C.,,TUTTLE,YOUNG (TX),"CADDO,CADDO, UPPER,CONGL.,MISSISSIPPIAN",MISSISSIPPIAN,DISPOSAL,ACTIVE,TX,33.1285195,-98.9318321
4250341741,WALKER WILLIAMS,30,WALKER WILLIAMS,ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,YOUNG COUNTY REGULAR,YOUNG (TX),WILLIS (STRAWN BUHRAM),WILLIS (STRAWN BUHRAM),DISPOSAL,ACTIVE,TX,32.989969,-98.4987976
4250341676,"GRAHAM, GEROLD",2,"GRAHAM, GEROLD","HILL, R.M. OPERATING INC.",HILL  R.M. OPERATING INC.,,KENDALL,YOUNG (TX),"BEND CONGLOMERATE,CADDO,MARBLE FALLS,MISSISSIPPI LIME",PALO PINTO LS,DISPOSAL,ACTIVE,TX,33.0146041,-98.8239817
4250341645,WILLIAMS-MATHIS,1SW,WILLIAMS-MATHIS,ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,YOUNG COUNTY REGULAR,YOUNG (TX),SHALE,LIME,DISPOSAL,ACTIVE,TX,32.9928469,-98.5014136
4250341582,WALKER-WILLIAMS,14,WALKER-WILLIAMS,ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,WILLIS,YOUNG (TX),STRAWN-BUTTRAM,STRAWN,DISPOSAL,ACTIVE,TX,32.9901781,-98.4938114
4250341245,"CAMPBELL, R., ESTATE -E-",41,"CAMPBELL, R., ESTATE -E-","MYERS, JAMES B.",MYERS  JAMES B.,,YOUNG COUNTY REGULAR,YOUNG (TX),,BLACKSHALE,DISPOSAL,ACTIVE,TX,33.3644904,-98.6556797
4250341168,JONES UNIT,1,JONES UNIT,GANNETT OPERATING LLC,GANNETT OPERATING LLC,,"KARRAN, NORTH",YOUNG (TX),"GAS,MARBLE FALLS,MISSISSIPPI",MARBLE FALLS,DISPOSAL,ACTIVE,TX,33.0601965,-98.7247874
4250341168,JONES UNIT,1,JONES UNIT,GANNETT OPERATING LLC,GANNETT OPERATING LLC,,"KARRAN, NORTH",YOUNG (TX),"GAS,MARBLE FALLS,MISSISSIPPI",MARBLE FALLS,DISPOSAL,ACTIVE,TX,33.0601965,-98.7247874
4250341155,"GASS, HARRIET M., EST.",29,"GASS, HARRIET M., EST.","MYERS, JAMES B.",MYERS  JAMES B.,,YOUNG COUNTY REGULAR,YOUNG (TX),,,DISPOSAL,ACTIVE,TX,33.3897975,-98.8676949
4250341068,COFFIELD-DANIELS,A 6,COFFIELD-DANIELS,KARPER OIL & GAS CORPORATION,KARPER OIL & GAS CORPORATION,,"KARRAN, NORTH",YOUNG (TX),MARBLE FALLS,PALO PINTO,DISPOSAL,ACTIVE,TX,33.1038835,-98.6929574
4250341068,COFFIELD-DANIELS,A 6,COFFIELD-DANIELS,KARPER OIL & GAS CORPORATION,KARPER OIL & GAS CORPORATION,,"KARRAN, NORTH",YOUNG (TX),MARBLE FALLS,PALO PINTO,DISPOSAL,ACTIVE,TX,33.1038835,-98.6929574
4250341039,"CAMPBELL, R., ESTATE -E-",34,"CAMPBELL, R., ESTATE -E-","MYERS, JAMES B.",MYERS  JAMES B.,,YOUNG COUNTY REGULAR,YOUNG (TX),,UPPER GUNSIGHT,DISPOSAL,ACTIVE,TX,33.3631705,-98.6568897
4250341006,"CAMPBELL, R., ESTATE -E-",31,"CAMPBELL, R., ESTATE -E-","MYERS, JAMES B.",MYERS  JAMES B.,,YOUNG COUNTY REGULAR,YOUNG (TX),,GUNSIGHT SAND,DISPOSAL,ACTIVE,TX,33.3616495,-98.6568697
4250340901,ALLAR-PRITCHARD,2B,ALLAR-PRITCHARD,"HILL, R.M. OPERATING INC.",HILL  R.M. OPERATING INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),GAS,VILLAGE BEND,DISPOSAL,ACTIVE,TX,33.0445439,-98.7888665
4250340770,HAMILTON,19,HAMILTON,"JUST OIL & GAS, INC.",JUST OIL & GAS  INC.,,YOUNG COUNTY REGULAR,YOUNG (TX),,GUNSIGHT,DISPOSAL,ACTIVE,TX,33.3922405,-98.6962757
4250340749,STROTHER,4,STROTHER,"THREE P OPERATING CO.,GP, L.L.C.",THREE P OPERATING CO. GP  L.L.C.,,YOUNG COUNTY REGULAR,YOUNG (TX),,STRAWN,DISPOSAL,ACTIVE,TX,33.1751809,-98.8454272
4250340613,"TIDWELL, R. V.",39,"TIDWELL, R. V.","DICK LINDSAY OIL COMPANY, INC.",DICK LINDSAY OIL COMPANY  INC.,,ARCHER COUNTY REGULAR,YOUNG (TX),,GUNSIGHT LIME,DISPOSAL,ACTIVE,TX,33.3938202,-98.7293657
4250340454,WALKER-WILLIAMS "A",1,WALKER-WILLIAMS "A",ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,HERRON BEND,YOUNG (TX),STRAWN,MARBLE FALLS LIME,DISPOSAL,ACTIVE,TX,32.9866501,-98.4979415
4250340454,WALKER-WILLIAMS "A",1,WALKER-WILLIAMS "A",ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,HERRON BEND,YOUNG (TX),STRAWN,MARBLE FALLS LIME,DISPOSAL,ACTIVE,TX,32.9866501,-98.4979415
4250340454,WALKER-WILLIAMS "A",1,WALKER-WILLIAMS "A",ROVER PETROLEUM,ROVER OPERATING COMPANY  LLC,,HERRON BEND,YOUNG (TX),STRAWN,MARBLE FALLS LIME,DISPOSAL,ACTIVE,TX,32.9866501,-98.4979415
